word,sense_number,synset_id,,tag_count,w_num
abandon,2,200593413,,7,1
abandon,5,200594081,,3,1
abandon,4,202017679,,6,3
abandon,3,202163347,,6,1
abandon,1,202163637,,10,1
abase,1,201747514,,0,5
abash,1,201740167,,0,2
abate,2,200236959,,0,1
abate,1,200237189,,0,2
abbreviate,1,200235649,,3,1
abbreviate,2,200235800,,0,3
abdicate,1,202308091,,0,1
abduce,1,200983009,,0,2
abduct,2,201408129,,0,1
abduct,1,201429431,,0,3
aberrate,2,202582509,,0,1
aberrate,1,202582816,,0,1
abet,1,202473944,,3,1
abhor,1,201723090,,1,1
abide,2,200645847,,1,10
abide,1,202558733,,2,2
abjure,1,200772899,,0,1
ablactate,1,201150791,,0,2
ablate,2,200171112,,0,1
ablate,1,200266493,,0,1
abnegate,3,200733223,,0,1
abnegate,2,201081403,,0,1
abnegate,1,202149356,,0,2
abolish,1,202354201,,9,1
abominate,1,201723090,,0,3
abort,2,200057995,,0,1
abort,1,200342634,,0,1
abound,1,202635699,,2,1
abound,2,202635858,,0,1
about-face,2,200665984,,0,1
about-face,1,201853259,,2,1
abrade,3,200099639,,0,4
abrade,2,201213799,,0,2
abrade,1,201216140,,0,1
abrase,1,201216140,,0,3
abreact,1,201762654,,0,1
abridge,1,200235800,,1,1
abrogate,1,202404321,,1,1
abscise,2,201217149,,0,1
abscise,1,201217282,,0,1
abscond,1,202015113,,0,1
abseil,1,201867093,,0,2
absent,1,200409402,,2,1
absolve,2,200872741,,0,1
absolve,1,200874010,,0,1
absorb,5,200383729,,2,1
absorb,9,200580741,,0,1
absorb,7,200581400,,1,6
absorb,2,200582610,,5,1
absorb,8,201428907,,0,1
absorb,4,201496566,,4,1
absorb,1,201497173,,12,1
absorb,3,202152991,,4,1
absorb,6,202683505,,1,1
absquatulate,1,202015113,,0,3
abstain,2,201159672,,1,1
abstain,1,202389433,,1,1
abstract,1,200669245,,5,1
abstract,3,200710405,,1,1
abstract,4,200975648,,0,1
abstract,2,202210889,,1,5
abuse,2,200196176,,2,3
abuse,3,200817784,,0,1
abuse,1,202441620,,3,3
abut,1,201425369,,0,4
aby,1,202445533,,0,2
abye,1,202445533,,0,3
accede,3,200778182,,0,2
accede,1,200848976,,1,4
accede,2,202310255,,0,1
accelerate,1,200425643,,11,1
accelerate,2,200426772,,1,1
accent,2,200951179,,0,2
accent,1,200980547,,0,5
accentuate,2,200951179,,0,3
accentuate,1,200980547,,3,6
accept,7,200646517,,2,1
accept,1,200663436,,34,1
accept,11,200694670,,0,1
accept,4,200695412,,12,1
accept,3,200771887,,17,1
accept,10,202146428,,0,2
accept,9,202146934,,0,1
accept,2,202171267,,33,1
accept,5,202171767,,8,1
accept,6,202235349,,7,3
accept,8,202661315,,0,1
access,2,201949369,,0,1
access,1,202183912,,0,1
accession,1,200967120,,0,1
acclaim,1,200833532,,3,1
acclaim,2,200833736,,0,4
acclimate,1,200381744,,0,3
acclimatise,1,200381744,,0,2
acclimatize,1,200381744,,1,1
accommodate,2,200290397,,5,2
accommodate,7,200469496,,0,1
accommodate,6,200856528,,0,2
accommodate,3,201148301,,3,1
accommodate,5,202572298,,0,2
accommodate,1,202621525,,5,2
accommodate,4,202652815,,2,1
accompany,3,201679261,,3,2
accompany,2,201967594,,8,1
accompany,1,202636434,,20,2
accompany,4,202636837,,1,3
accomplish,1,201594283,,30,2
accomplish,2,202450929,,13,2
accord,2,202190301,,5,1
accord,1,202618887,,20,4
accost,2,200755951,,0,3
accost,1,200958357,,4,2
account,4,200838812,,0,1
account,3,200933094,,0,3
account,2,202199815,,0,1
account,1,202529565,,0,1
accouter,1,202274576,,0,1
accoutre,1,202274576,,0,2
accredit,3,200703739,,0,1
accredit,1,202401427,,2,1
accredit,2,202401664,,0,1
accrete,2,200153432,,0,1
accrete,1,200384356,,0,1
accrue,1,200150069,,2,1
accrue,2,202165653,,0,1
acculturate,1,200153922,,1,1
accumulate,2,200152940,,4,1
accumulate,1,202238144,,4,3
accuse,1,200815577,,22,1
accuse,2,200815975,,0,2
accustom,1,200264554,,2,2
ace,4,201043306,,0,1
ace,3,201050629,,0,1
ace,2,201078418,,0,1
ace,1,202447445,,0,2
acerbate,2,200261524,,0,1
acerbate,1,201722199,,0,3
acetify,2,200256013,,0,2
acetify,1,202133778,,0,4
acetylate,2,200510263,,0,1
acetylate,1,200510479,,0,1
acetylise,2,200510263,,0,3
acetylise,1,200510479,,0,3
acetylize,2,200510263,,0,2
acetylize,1,200510479,,0,2
ache,2,201753329,,3,1
ache,1,202060115,,3,2
ache,3,202060768,,2,1
achieve,1,202450929,,101,1
achromatise,1,200510710,,0,2
achromatize,1,200510710,,0,1
acidify,2,200256013,,0,1
acidify,1,202133778,,0,2
acidulate,1,202133778,,0,3
acid-wash,1,201494774,,0,1
acknowledge,6,200573954,,0,1
acknowledge,5,200716218,,0,1
acknowledge,1,200790973,,5,2
acknowledge,4,200863037,,1,1
acknowledge,2,200863268,,3,1
acknowledge,3,201025341,,2,2
acquaint,3,200805544,,0,1
acquaint,2,200845081,,1,3
acquaint,1,200871438,,1,3
acquiesce,1,200778182,,3,3
acquire,3,200091651,,3,5
acquire,2,200510844,,6,2
acquire,7,200530860,,0,2
acquire,6,200578275,,0,3
acquire,1,202147191,,34,2
acquire,5,202222264,,0,1
acquire,4,202614178,,0,1
acquit,1,200874318,,1,1
acquit,2,202443169,,0,2
act,2,200010141,,22,1
act,5,200013302,,1,1
act,4,201060866,,4,1
act,3,201670298,,7,1
act,10,201670899,,0,1
act,9,201672516,,0,3
act,1,202296591,,35,1
act,8,202346017,,0,1
act,7,202450309,,0,2
act,6,202664521,,0,1
action,2,201594283,,0,5
action,1,202505162,,0,1
activate,2,200184194,,2,1
activate,5,200184398,,0,1
activate,4,200184511,,0,1
activate,3,200184732,,0,1
activate,1,201596973,,3,4
actualise,2,200955644,,0,2
actualise,1,201598026,,0,4
actualize,2,200955644,,0,1
actualize,1,201598026,,0,3
actuate,1,201596973,,2,2
actuate,2,201603134,,0,2
acuminate,1,200381294,,0,1
adapt,2,200144751,,3,3
adapt,1,200290397,,7,1
add,1,200176022,,395,1
add,4,200620414,,13,1
add,5,200918069,,8,8
add,2,200994154,,328,1
add,3,202257242,,68,5
add,6,202664698,,0,1
addict,1,201129306,,0,1
addle,2,200203265,,0,1
addle,1,200600235,,0,1
address,10,200451628,,0,1
address,1,200867918,,16,1
address,2,200956921,,5,1
address,9,200958357,,0,1
address,3,200958514,,4,1
address,8,201000250,,0,6
address,4,201115482,,2,1
address,5,201124987,,1,1
address,7,202184122,,0,1
address,6,202524642,,0,1
adduce,1,200983009,,0,1
adduct,1,201407956,,0,1
adhere,2,200473111,,3,1
adhere,3,201183957,,1,3
adhere,6,201316841,,0,1
adhere,5,202560162,,0,4
adhere,4,202560377,,0,1
adhere,1,202638248,,5,1
adjoin,3,200176999,,0,1
adjoin,2,201169130,,0,2
adjoin,1,201425369,,3,2
adjourn,1,200353067,,4,1
adjourn,2,202355336,,0,1
adjudge,1,200795481,,0,2
adjudicate,2,200675647,,0,4
adjudicate,1,202426544,,0,2
adjure,2,200730529,,0,1
adjure,1,200734730,,0,4
adjust,3,200144751,,5,1
adjust,1,200287086,,19,1
adjust,4,200288920,,2,1
adjust,2,200451262,,6,4
adjust,5,200676072,,0,1
ad-lib,1,201679746,,0,3
admeasure,1,202228987,,0,1
administer,4,200078744,,1,1
administer,3,202228378,,2,2
administer,2,202242712,,6,1
administer,1,202358802,,9,1
administrate,1,202358802,,0,2
admire,1,201774722,,13,1
admire,2,202102849,,8,1
admit,1,200790973,,64,1
admit,4,202171767,,1,2
admit,3,202376377,,1,1
admit,2,202427748,,11,1
admit,8,202590771,,0,1
admit,7,202652815,,0,3
admit,6,202661451,,0,1
admit,5,202664994,,0,1
admix,1,200384716,,1,1
admonish,3,200797105,,0,1
admonish,1,200841635,,1,3
admonish,2,200842235,,0,2
adolesce,1,200244334,,0,1
adopt,5,200401069,,2,1
adopt,4,200510844,,2,3
adopt,7,200582177,,0,3
adopt,6,201652587,,0,3
adopt,2,202279114,,6,1
adopt,1,202279267,,37,1
adopt,3,202310584,,2,2
adore,1,201726283,,1,1
adorn,1,201627899,,3,2
adorn,3,202315204,,0,3
adorn,2,202668163,,0,2
adsorb,1,201497700,,5,1
adulate,1,200851093,,0,1
adulterate,1,200474441,,0,1
adumbrate,2,200897243,,0,2
adumbrate,1,200973763,,0,3
advance,12,200152358,,0,1
advance,7,200240336,,2,4
advance,3,200483642,,5,2
advance,8,200542948,,1,1
advance,2,200846406,,6,1
advance,6,201075940,,3,2
advance,1,201934453,,7,1
advance,5,201935876,,4,1
advance,11,201936238,,0,1
advance,10,202217954,,0,1
advance,9,202325893,,0,3
advance,4,202479351,,4,2
advantage,1,202438269,,0,1
advect,1,202042874,,0,1
adventure,1,202469144,,1,6
adventure,2,202470068,,0,3
advert,3,200991188,,0,2
advert,2,200993726,,0,3
advert,1,202108151,,0,3
advertise,1,200943851,,7,1
advertise,2,200944602,,0,1
advertize,2,200943851,,0,3
advertize,1,200944602,,0,2
advise,1,200843872,,11,1
advise,2,200844607,,10,1
advise,3,200846061,,4,3
advocate,2,200800603,,1,2
advocate,1,200845826,,9,3
aerate,3,200179289,,0,4
aerate,2,200184511,,0,2
aerate,1,202051752,,0,3
aerify,1,200429642,,0,4
aerosolise,2,201337672,,0,2
aerosolise,1,201337854,,0,2
aerosolize,1,201337672,,2,1
aerosolize,2,201337854,,0,1
aestivate,1,200015870,,0,2
affect,2,200019146,,11,1
affect,1,200132263,,51,1
affect,4,200810765,,4,4
affect,5,201716999,,0,1
affect,3,202596340,,4,2
affiance,1,200857187,,0,3
affiliate,3,202362021,,0,1
affiliate,2,202512288,,0,3
affiliate,1,202512619,,0,1
affirm,1,200643814,,9,6
affirm,2,200978355,,3,1
affirm,3,200979031,,2,1
affix,3,201259695,,0,1
affix,2,201289342,,2,4
affix,1,201316461,,7,1
afflict,3,200068645,,0,1
afflict,2,200251184,,0,1
afflict,1,201745468,,0,1
afford,1,201156300,,24,1
afford,2,202271697,,13,3
afford,4,202290392,,0,1
afford,3,202664013,,0,1
afforest,1,201524432,,0,1
affranchise,1,202402988,,0,1
affright,1,201727523,,0,4
affront,1,200820834,,1,3
age,2,200239721,,1,2
age,1,200240189,,1,1
age,3,200241327,,0,1
Agenise,1,200503824,,0,2
Agenize,1,200503824,,0,1
agglomerate,1,201442781,,2,1
agglutinate,2,201184702,,0,1
agglutinate,1,201185034,,0,1
aggrade,1,201268720,,0,1
aggrandise,1,200924647,,0,6
aggrandize,1,200924647,,0,5
aggravate,1,200200852,,3,2
aggravate,2,201768030,,2,3
aggregate,2,201344923,,0,1
aggregate,1,202549312,,0,1
aggress,1,201083492,,0,2
aggrieve,2,201745335,,0,2
aggrieve,1,202438880,,0,1
aggroup,1,201055191,,0,2
agitate,6,201378866,,0,1
agitate,2,201711686,,1,1
agitate,5,201835310,,0,2
agitate,4,201839599,,0,4
agitate,1,202508098,,2,1
agitate,3,202512778,,0,6
agnise,1,200704493,,0,6
agnize,1,200704493,,0,5
agonise,2,201742135,,0,2
agonise,1,201742295,,0,2
agonize,2,201742135,,0,1
agonize,1,201742295,,0,1
agree,2,200739104,,25,1
agree,1,200779329,,63,1
agree,7,201002245,,0,1
agree,6,202225086,,0,1
agree,3,202578124,,4,8
agree,4,202618887,,1,7
agree,5,202661562,,0,1
aid,2,200079717,,1,2
aid,1,202472355,,36,3
ail,2,200068645,,0,3
ail,1,200076348,,0,1
aim,7,200682163,,2,3
aim,2,200685448,,7,1
aim,4,200689607,,3,2
aim,6,200923732,,2,1
aim,3,200993955,,5,3
aim,5,201115060,,2,2
aim,1,201115611,,8,1
air,6,200475438,,0,4
air,5,200475697,,0,1
air,4,200922993,,0,3
air,3,200941023,,0,1
air,2,200941695,,0,1
air,1,202051752,,1,2
airbrush,1,201323356,,0,1
air-condition,2,202263881,,0,1
air-condition,1,202264119,,0,1
air-drop,1,201447667,,0,1
airlift,1,201410759,,0,1
airmail,1,200998827,,0,1
air-slake,1,200207385,,0,1
airt,1,201895924,,0,2
alarm,2,200843400,,1,1
alarm,1,201730919,,2,2
alchemise,1,200134500,,0,2
alchemize,1,200134500,,0,1
alcoholise,2,200134643,,0,2
alcoholise,1,200134822,,0,2
alcoholize,3,200134643,,0,1
alcoholize,2,200134822,,0,1
alcoholize,1,201140616,,0,1
alert,1,200843400,,9,2
alibi,1,200864311,,0,1
alien,2,201770621,,0,3
alien,1,202157309,,0,1
alienate,1,201770621,,3,2
alienate,2,202157309,,0,2
alight,2,201920642,,0,1
alight,1,201920766,,1,1
align,1,200451262,,2,1
align,4,200452994,,0,1
align,3,200709455,,1,1
align,2,202579718,,1,1
aliment,1,201167679,,0,2
aline,1,200451262,,0,2
alkalify,1,200256232,,0,3
alkalinise,2,200129687,,0,2
alkalinise,1,200129848,,0,2
alkalinize,2,200129687,,0,1
alkalinize,1,200129848,,0,1
alkalise,1,200256232,,0,2
alkalize,1,200256232,,0,1
allay,2,201167509,,0,3
allay,1,201762368,,0,2
allege,1,200983145,,5,1
allegorise,2,200130235,,0,2
allegorise,1,200604140,,0,2
allegorize,2,200130235,,0,1
allegorize,1,200604140,,0,1
alleviate,1,200062014,,2,2
alleviate,2,200504854,,1,3
alligator,1,200327019,,0,1
alliterate,1,201653430,,0,1
allocate,1,202169266,,6,1
allot,1,202164287,,6,2
allot,2,202190301,,4,2
allot,3,202228378,,2,11
allow,6,200699618,,3,1
allow,4,200700205,,8,1
allow,2,200776433,,49,2
allow,10,200777007,,0,1
allow,3,202190495,,17,1
allow,9,202252516,,0,1
allow,1,202350232,,70,2
allow,8,202350699,,0,2
allow,5,202641399,,4,3
allow,7,202664994,,0,2
allowance,1,202190854,,0,1
alloy,2,200384893,,0,1
alloy,1,200480131,,0,2
allude,1,200993726,,0,1
allure,1,200768094,,0,2
ally,1,202357040,,0,1
alphabetise,1,200270233,,0,2
alphabetize,1,200270233,,1,1
alphabetize,2,202263522,,0,1
alter,5,200058451,,0,1
alter,2,200118358,,2,2
alter,1,200121430,,26,2
alter,4,200194360,,0,2
alter,3,201619407,,1,1
altercate,1,200749559,,0,5
alternate,5,200116593,,0,1
alternate,1,200116748,,3,1
alternate,4,200116920,,0,4
alternate,3,200585097,,0,2
alternate,2,202322132,,0,1
aluminise,1,201298580,,0,2
aluminize,1,201298580,,0,1
amalgamate,1,201420446,,0,5
amass,1,200152940,,1,6
amass,2,202238144,,0,5
amaze,2,200602261,,1,15
amaze,1,200700834,,4,1
ambition,1,201772924,,0,1
amble,1,201862197,,2,1
ambulate,1,201855896,,0,1
ambuscade,1,201102940,,0,6
ambush,1,201102940,,2,1
ambush,2,201106940,,1,2
ameliorate,2,200197826,,0,3
ameliorate,1,200198579,,0,4
amend,3,200192935,,0,5
amend,2,200198579,,2,3
amend,1,200963940,,9,1
amerce,2,202424325,,0,1
amerce,1,202425549,,0,1
Americanise,2,200397475,,0,2
Americanise,1,200398202,,0,2
Americanize,2,200397475,,0,1
Americanize,1,200398202,,0,1
ammoniate,1,200180969,,0,1
ammonify,1,200483800,,0,1
amnesty,1,200875913,,0,1
amortise,1,202284639,,0,2
amortize,1,202284639,,0,1
amount,3,202549120,,4,3
amount,2,202566515,,6,5
amount,1,202584939,,10,1
