preposition,meaning
a cut above,noticeably superior to:
a la,(of a dish) cooked or prepared in a specified way:
a la,in the style or manner of:
abaft,nearer the stern than; behind.
aboard,"on or into (a ship, aircraft, train, or other vehicle):"
about,used to describe a quality apparent in a person:
about,used to express location in a particular place:
about,used to indicate movement within a particular area:
about,so as to affect:
about,on the subject of; concerning:
above,at a higher volume or pitch than:
above,considered of higher status or worth than; too good for:
above,"higher than (a specified amount, rate, or norm):"
above,in preference to:
above,higher in grade or rank than:
above,in extended space over and not touching:
above,higher than and to one side of; overlooking:
absent,without:
according to,as stated by or in:
according to,in a manner corresponding or conforming to:
according to,in proportion to; in relation to
across,used to indicate a period of time begun while some activity continues
across,expressing position or orientation:
across,"from one side to the other of (a place, area, etc.):"
afore,before:
after,following in time and resulting from (an event or activity)
after,next to and following in order or importance:
after,past
after,behind:
after,during the time following the departure or action of:
after,(in phrases indicating something happening continuously or repeatedly) in the time following (an event or another period of time)
after,(with reference to looking or speaking) in the direction of someone who is moving further away:
after,in allusion to (someone or something with the same or a related name):
after,in imitation of:
after,in pursuit or quest of:
after,in the time following (an event or another period of time):
after the fashion of,in a manner similar to:
against,"in opposition to (a litigant, legal case, or legal position)"
against,in visual contrast to:
against,"in or into physical contact with (something), so as to be supported by or collide with it:"
against,"in relation to (an amount of money owed, due, or lent) so as to reduce, cancel, or secure it:"
against,in competition with
against,in conceptual contrast to:
against,in anticipation of and preparation for (a problem or difficulty):
against,in resistance to; as protection from:
against,in opposition to:
against,(in betting) in anticipation of the failure of:
agin,against
ahead of,earlier than:
ahead of,in store for; awaiting:
ahead of,in front of or before.
all for,strongly in favor of
all over,throughout; in every part of (the body or body part)
all over,effusively attentive to:
all over,throughout; in every part of
along,moving in a constant direction on (a more or less horizontal surface):
along,used to refer to the passage of time or the making of progress:
along,extending in a more or less horizontal line on:
along with,in company with or at the same time as:
alongside,at the same time as or in coexistence with:
alongside,together with and in cooperation with
alongside,close to the side of; next to:
amid,in an atmosphere or against a background of:
amid,surrounded by; in the middle of:
amidst,All_amid
among,"indicating a division, choice, or differentiation involving three or more participants:"
among,being a member or members of (a larger set):
among,occurring in or shared by (some members of a group or community):
among,situated more or less centrally in relation to (several other things):
anent,concerning; about:
anti,opposed to; against:
apart from,except for:
apart from,in addition to; as well as:
apropos,with reference to; concerning:
around,(of something abstract) having (the thing mentioned) as a focal point:
around,following an approximately circular route:
around,in or to many places throughout (a community or locality):
around,so as to encircle or embrace (someone or something):
around,on every side of:
as,used to refer to the function or character that someone or something has:
as,during the time of being (the thing specified):
as far as,for a great enough distance to reach
as for,with regard to:
as from,used to indicate the time or date from which something starts:
as of,used to indicate the time or date from which something starts:
as regards,concerning; in respect of:
as to,with respect to; concerning:
as well as,in addition to
aside from,apart from.
aslant,across (something) at an angle.
astraddle,with the legs stretched widely on each side of:
astride,extending across:
astride,with a leg on each side of:
at,(followed by a noun without a determiner) denoting the time spent by someone attending an educational institution or workplace:
at,referring to someone's age:
at,expressing a particular state or condition:
at,denoting a particular point or level on a scale:
at,expressing the means by which something is done:
at,expressing location or arrival in a particular place or position:
at,expressing a relationship between an individual and a skill:
at,denoting the thing that provokes an emotional reaction
at,"expressing the object of a look, thought, action, or plan:"
at,(followed by a noun without a determiner) denoting a particular period of time:
at,expressing the time when an event takes place:
at a range of,at (a specified distance) away from
at the hand of,through the agency of:
at the hands of,through the agency of:
at the heels of,following closely after:
athwart,in opposition to; counter to:
athwart,from side to side of; across:
atop,on the top of:
back of,behind:
bar,except for:
bar,(used when stating the odds) except (a particular horse or horses)
bare of,devoid of; without.
barring,except for; if not for:
because of,on account of; by reason of:
before,"in front of and required to answer to (a court of law, tribunal, or other authority):"
before,in front of:
before,in preference to; rather than:
before,during the period of time preceding (a particular event or time):
behind,having a lower score than (another competitor):
behind,less advanced than (someone or something) in achievement or development:
behind,after the departure or death of (someone):
behind,in support of or giving guidance to (someone else):
behind,at the back of or in the wake of (someone)
behind,underlying (something) but not apparent to the observer:
behind,following or further back than (another member of a moving group):
behind,"at or to the far side of (something), typically so as to be hidden by it:"
behind,controlling or responsible for (an event or plan):
below,lower in grade or rank than:
below,lower than (a specified amount or standard):
below,at a lower level or layer than:
