docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S1600536809055135,The hydroxy groups are involved in O mdash H,hydroxy groups,involved in,mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,19,hydroxy:0:group,mdash:0:h,are,4
10.1107/S1600536809055135,The hydroxy groups are involved in O mdash H,hydroxy groups,involved in,O mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,17,hydroxy:0:group,o:1:mdash:0:h,are,3
10.1107/S1600536809055639,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,Ni atom,chelated by,dianionic pentadentate,chelate,{'chelate'},1,18,ni:0:atom,dianionic:0:pentadentate,is,4
10.1107/S1600536809055639,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,Ni atom,chelated by,dianionic pentadentate Schiff base,chelate,{'chelate'},2,18,ni:0:atom,dianionic:0:pentadentate:1:schiff:0:base,is,4
10.1107/S1600536809055433,The ZnII atom is bonded by two O atoms of the bidentate chelating sulfate ligand and four N atoms of the two chelating 22 prime bipyridine ligands,ZnII atom,bonded by,O atoms,bond,"{'bind', 'attach', 'adhere', 'stick', 'tie', 'bond'}",1,18,znii:0:atom,o:0:atom,is,4
10.1107/S1600536809055433,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,NCCN groups,subtend,dihedral angle,subtend,"{'delimit', 'subtend'}",1,11,nccn:0:group,dihedral:0:angle,,2
10.1107/S1600536809055433,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,chelating NCCN groups,subtend,dihedral angle,subtend,"{'delimit', 'subtend'}",2,11,chelate:1:nccn:0:group,dihedral:0:angle,,2
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,connected by,mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",1,70,crystal:0:structure,mdash:0:h,are,10
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,connected by,O mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",2,68,crystal:0:structure,o:1:mdash:0:h,are,9
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,connected by,intermolecular O mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",3,53,crystal:0:structure,intermolecular:2:o:1:mdash:0:h,are,8
