subject,object,predicate,sentence,pred freq,sub freq,obj freq,distance,root,root freq,synonyms,sub term,obj term,level,doc ID
hydroxy groups,mdash H,are involved in,The hydroxy groups are involved in O mdash H,15,3,121,19,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",hydroxy:0:group,mdash:0:h,1,10.1107/S1600536809055135
Ni atom,dianionic pentadentate,is chelated by,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,3,1,1,18,chelate,5,{'chelate'},ni:0:atom,dianionic:0:pentadentate,1,10.1107/S1600536809055639
ZnII atom,O atoms,is bonded by,The ZnII atom is bonded by two O atoms of the bidentate chelating sulfate ligand and four N atoms of the two chelating 22 prime bipyridine ligands,1,3,21,18,bond,13,"{'adhere', 'bind', 'tie', 'stick', 'attach', 'bond'}",znii:0:atom,o:0:atom,1,10.1107/S1600536809055433
NCCN groups,dihedral angle,subtend,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,1,1,27,11,subtend,1,"{'delimit', 'subtend'}",nccn:0:group,dihedral:0:angle,1,10.1107/S1600536809055433
crystal structure,mdash H,are connected by,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,8,68,121,70,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",crystal:0:structure,mdash:0:h,1,10.1107/S1600536809055433
title compound,recrystallization from methanol,were obtained by,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,4,195,1,36,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",title:0:compound,methanol:0:recrystallization,1,10.1107/S160053681000262X
MoVI atom,O atoms,is coordinated by,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,43,1,21,29,coordinate,62,"{'coordinate', 'organise', 'organize', 'align', 'ordinate'}",movi:0:atom,o:0:atom,1,10.1107/S160053681000262X
coordination sphere,methanol molecule,is completed by,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,8,1,3,33,complete,10,"{'complete', 'nail', 'discharge', 'finish', 'dispatch'}",sphere:0:coordination,methanol:0:molecule,1,10.1107/S160053681000262X
methanol molecule,distorted octahedron,yielding,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,2,1,2,12,yield,12,"{'give', 'afford', 'soften', 'concede', 'generate', 'cede', 'render', 'yield', 'grant', 'succumb', 'relent'}",methanol:0:molecule,distort:0:octahedron,1,10.1107/S160053681000262X
hydrogen bonds,organic cations,link,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,35,46,1,10,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",hydrogen:0:bond,organic:0:cation,1,10.1107/S1600536810002886
