10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,crystal:0:structure:1:further:0:consolidation,accomplished,extensive O mdash H,extensive:2:o:1:mdash:0:h,3,20,3,is
10.1107/S1600536809055135,The hydroxy groups are involved in O mdash H,hydroxy groups,hydroxy:0:group,involved,mdash H,mdash:0:h,1,19,4,are
10.1107/S1600536809055135,The hydroxy groups are involved in O mdash H,hydroxy groups,hydroxy:0:group,involved,O mdash H,o:1:mdash:0:h,2,17,3,are
10.1107/S1600536809055639,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,Ni atom,ni:0:atom,chelated,dianionic pentadentate,dianionic:0:pentadentate,1,18,4,is
10.1107/S1600536809055639,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,Ni atom,ni:0:atom,chelated,dianionic pentadentate Schiff base,dianionic:0:pentadentate:1:schiff:0:base,2,18,4,is
10.1107/S1600536809055433,The title compound ZnSO4C10H8N22 middot C2H6O2 is a sixcoordinate zincII complex with a distorted octahedral coordination geometry,title compound,title:0:compound,is,octahedral coordination,octahedral:0:coordination,1,80,11,
10.1107/S1600536809055433,The ZnII atom is bonded by two O atoms of the bidentate chelating sulfate ligand and four N atoms of the two chelating 22 prime bipyridine ligands,ZnII atom,znii:0:atom,bonded,O atoms,o:0:atom,1,18,4,is
10.1107/S1600536809055433,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,NCCN groups,nccn:0:group,subtend,dihedral angle,dihedral:0:angle,1,11,2,
10.1107/S1600536809055433,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,chelating NCCN groups,chelate:1:nccn:0:group,subtend,dihedral angle,dihedral:0:angle,2,11,2,
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,crystal:0:structure,connected,mdash H,mdash:0:h,1,70,10,are
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,crystal:0:structure,connected,O mdash H,o:1:mdash:0:h,2,68,9,are
10.1107/S1600536809055433,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,crystal structure,crystal:0:structure,connected,intermolecular O mdash H,intermolecular:2:o:1:mdash:0:h,3,53,8,are
10.1107/S1600536810002229,Each of two copperI atoms in the asymmetric unit is threecoordinated by two N atoms from two 44 prime bipy ligands and one O atom from the 24dichlorophenoxyacetate ligand,asymmetric unit,asymmetric:0:unit,is,N atoms,n:0:atom,1,28,4,
10.1107/S160053681000262X,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,title compound,title:0:compound,obtained,recrystallization from methanol,methanol:0:recrystallization,1,36,4,were
10.1107/S160053681000262X,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,Crystals of the title compound,title:0:compound:1:crystal,obtained,recrystallization from methanol,methanol:0:recrystallization,2,36,4,were
10.1107/S160053681000262X,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,MoVI atom,movi:0:atom,coordinated,O atoms,o:0:atom,1,29,5,is
10.1107/S160053681000262X,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,MoVI atom,movi:0:atom,coordinated,oxide O atoms,oxide:0:o:1:atom,2,23,4,is
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,coordination sphere,sphere:0:coordination,completed,methanol molecule,methanol:0:molecule,1,33,8,is
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,methanol molecule,methanol:0:molecule,yielding,distorted octahedron,distort:0:octahedron,1,12,2,
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,coordination sphere,sphere:0:coordination,completed,O atom of a methanol molecule,methanol:0:molecule:1:o:0:atom,2,21,4,is
10.1107/S160053681000262X,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,O atom of a methanol molecule,methanol:0:molecule:1:o:0:atom,yielding,distorted octahedron,distort:0:octahedron,2,12,2,
10.1107/S1600536810002886,In the title compound C21H22N2AuCl4Cl the AuIII atom adopts a squareplanar coordination geometry defined by four chloride ions,AuIII atom,auiii:0:atom,adopts,coordination geometry,coordination:0:geometry,1,23,3,
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,hydrogen bonds,hydrogen:0:bond,link,organic cations,organic:0:cation,1,10,2,
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,Cl hydrogen bonds,cl:1:hydrogen:0:bond,link,organic cations,organic:0:cation,2,10,2,
10.1107/S1600536810002886,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,Cl hydrogen bonds,cl:1:hydrogen:0:bond,link,the organic cations and the uncoordinated chloride ion,uncoordinated:1:chloride:0:ion:2:organic:0:cation,3,6,1,
10.1107/S1600536810001789,The molecular conformation of the title compound C16H22N4O2S2 is stabilized by two intramolecular N mdash H,title compound,title:0:compound,stabilized,mdash H,mdash:0:h,1,52,7,is
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,methylsulfinyl substituent,methylsulfinyl:0:substituent,located,opposite sides,opposite:0:side,1,16,3,are
10.1107/S1600536810001157,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,methyl group of the methylsulfinyl substituent,methylsulfinyl:0:substituent:1:methyl:0:group,located,opposite sides of the plane,plane:1:opposite:0:side,2,16,3,are
