word,form1,form2,form3,form4,form5,form6,form7,form8,form9,form10
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
be,is,was,are,were,'s,been,being,'re,'m,am
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
have,had,has,'ve,having,'s,'d,of,d,ve,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
do,did,does,done,doing,du,d',,,,
will,'ll,wo,ll,,,,,,,
will,'ll,wo,ll,,,,,,,
will,'ll,wo,ll,,,,,,,
will,'ll,wo,ll,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
say,said,says,saying,,,,,,,
can,ca,cans,can,could,,,,,,
can,ca,cans,can,could,,,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
go,going,went,gone,goes,goin',,,,,
