"L domain and K domain" "joined" "linker region" .
"hydroxy H atom" "involved in" "intermolecular interactions" .
"SLS contrasts" "providing" "homogeneous contrast" .
"lattice parameters" "were determined as" "structure with space group B2cb" .
"sequence analysis" "reveals" "the protein is in fact" .
"phen ligands" "suggest" "pi  ndash  pi  " .
"earlier known Z prime  " "obtained by" "situ cryocrystallization technique" .
"Experimental tests" "show" "overall reliability" .
"reliability of these studies" "based on" "data quality and refinement statistics" .
"large block copolymer micelles" "determined by" "large range of scattering vectors" .
"Cl atoms" "protrude from" "adjacent layers" .
"input data" "is tested for" "dispersion relations" .
"ESI mass spectroscopy" "shows" "purified enzyme solution" .
"center of the pyridine ring" "connect" "supramolecular structure" .
"secondary structural features" "carried" "new approach" .
"emsp14  Aring  resolution" "carrying" "limited trypsin digestion" .
"chemical formula EuxVyMo8 plusmn" "were investigated by" "Mo K alpha  " .
"crystallographic inversion centres" "adopt" "octahedral coordination geometry" .
"cyclohexyl ring" "is distorted from" "classical chair conformation" .
"Ph ndash CH2CN torsion angle" "is minus" "planar phenyl ring" .
"simulation data" "suggested" "basic residues" .
"crystal structure" "features" "pairs of N mdash H" .
"high pressure technique to overcome this issue" "synthesized" "new layered oxhalide compounds" .
"oligomerization of JmjC domain" "plays" "critical role" .
"CoIII atom" "has" "octahedral geometry" .
"adjacent molecules" "form" "zigzag chain" .
"novel segmented cross undulator" "developed" "light source" .
"Tris ndash" "were collected to" "emsp14  Aring  resolution" .
"regime of the ideal performance" "be maintained over" "wide range of heat loads" .
"hydrogen bonds" "be observed in" "crystal structure" .
"phosphine over amine" "is reflected in" "Pd mdash" .
"powder diffraction" "check" "successful application" .
"conceptually simple device" "has been" "measurements and monitoring" .
"cyclohexyl ring" "is distorted from" "chair conformation" .
"title compound" "has" "inversion center" .
"crystal structure" "exists as" "functional tetramer form" .
"symmetry of the crystal and the protein complex" "identify" "correct solutions" .
"C atoms" "form" "dihedral angle" .
"c axis" "occurring" "periphery of the naphthoquinone skeleton" .
"neutral molecules and zwitter ions" "are arranged" "local domains in the NMR time scale" .
"5417 observed data and the molecular electron density" "analyzed" "topological methods" .
"mdash C" "found in" "related nonchelating diimines" .
"metal atom" "being" "TPTZ ligand" .
"title compound" "contains" "half of the molecule" .
"inclusion of these data" "helps to" "quality of experimental phases" .
"bulk modulus of the two polymorphs" "has been" "basis of the volumetric compressibility" .
"dicyanamide anions" "bonded in" "trans postitions" .
"covalent complexes" "performed" "transition patterns" .
"proteins used for crystallization" "favour" "crystallization of contaminants" .
"previous work" "taken of" "online combination" .
"ZnII atom" "is bonded in" "octahedral arrangement" .
"coordination around zinc" "is completed by" "methyl and tetrahydrofuran" .
"mutational analysis" "carried" "mechanism of substrate recognition" .
"binding sites" "be identified" "anomalous intensity differences" .
"crystal structure" "showing" "tetramer form" .
"title complex" "lies about" "centre of symmetry" .
"contrast variation" "determine" "overall micelle morphology" .
"Correction for preferred orientation" "provided" "simple texture model  " .
"JmjC domain" "identified in" "regulation network" .
"general rules" "obtain" "corresponding scheme" .
"cell with different types of atom" "experience" "single force function" .
"title compound" "consists of" "ZnII complex cation" .
"N atoms" "define" "slightly distorted octahedron" .
"dUTP pyrophosphatase" "preventing" "incorporation of uracil" .
"Ag ndash bipy chains" "linked" "intermolecular O mdash H" .
"complete native data" "has been" "structure determination" .
"structure of glucose isomerase" "solved to" "synchrotron radiation" .
"title compounds" "were determined with" "substituent types" .
"relatively rapid dissolution" "is in" "stacking direction in both crystal structures" .
"measure of steric" "were used" "spheres method" .
"Quantitative mineralogical analyses" "obtained by" "powder diffraction" .
"commercial host for solid state lasers" "doped with" "most efficient material" .
"Initial phases" "were determined by" "molecular replacement" .
"electron beam" "be used to" "moir eacute  " .
"catalytic domain" "solved at" "emsp14  Aring  resolution" .
"hydroxy group" "is involved in" "mdash H" .
"ndash detergent complex" "adding" "uncontrolled signal" .
"crystal structure of the title compound" "comprises" "water of crystallization" .
"low temperatures" "according to" "liquid phase" .
"The process" "facilitate" "systematic construction" .
"improved properties" "show" "structural features" .
"overall structure" "is stabilized via" "strong hydrogen bonding" .
"asymmetric unit" "consists of" "similar molecules" .
"useful information" "be taken into" "interpretation and model building" .
"CuII cation" "is located on" "centre of inversion" .
"advanced computer architectures" "used to" "very large number of local optima" .
"Human coronavirus" "were made" "structural analysis" .
"Cl hydrogen bonds" "link" "organic cations" .
"emsp14  Aring  resolution" "collected with" "synchrotron radiation" .
"complete cation in the title" "hydrated" "molecular salt" .
"Quantitative fringe" "are in" "fair agreement" .
"crystal structure" "is stabilized by" "asymmetric O mdash H" .
"in complex with rapamycin" "determined at" "emsp14  Aring  resolution" .
"dynamical image" "dominates" "direct image" .
"macrocyclic cations" "are bound to" "bridging water molecules" .
"ultrasonic oscillation" "measured" "stroboscopic system" .
"weight estimates" "were compared with" "gas proportional detector" .
"crystal of apo VatD" "belonged to" "space group" .
"racemic title compound" "crystallizes in" "red light" .
"polyhedron with triangular faces" "is described as" "topological density calculations" .
"change of conformation of this cycles" "lead to" "relative spatial distribution" .
"crystal structure" "is stabilized by" "der Waals interactions" .
"amide O atoms" "are displaced by" "mean plane" .
"presence of sodium hydride" "gave" "title compound" .
"benzimidazole ring" "make" "dihedral angle" .
"N atoms" "define" "Mo atom" .
"rocking curves" "has been" "regions close to" .
"solvent molecules" "make" "zigzag belts" .
"accommodation of large substrates" "making" "dephosphorylation of PI substrates" .
"C PR structure" "presents" "highest resolution" .
"Ni absorption edge" "equals" "partial structure factor" .
"Fielek model" "is made" "ionic interactions" .
"Structure factors" "compared with" "prior reports" .
"title compound" "crystallizes as" "N atom" .
"phase information" "extracted from" "de novo" .
"enzyme lysozyme" "using" "single bunch of electrons" .
"vial for cryocooled macromolecular crystals" "has been" "use with robotic sample changers" .
"femtosecond crystallography" "using" "polycrystalline samples" .
"the O atom and the methyl group of the methylsulfinyl substituent" "are located on" "opposite sides of the plane" .
"centrosymmetric space groups" "implying" "chiral molecules" .
"commercial host for solid state lasers" "ordered" "most efficient material" .
"caveats as possible" "produce" "better crystals" .
"famotidine form" "has been" "diffraction data" .
"title compound" "reveals" "pyridine ring" .
"performance of this method" "evaluated by" "results from a human expert and the concordance rate" .
"structure model" "refined by" "program package" .
"detuning technique" "used in" "periods of the undulator" .
"data collected" "using" "K alpha  " .
"March function with coefficient R" "leads to" "intensity correction factor" .
"Escherichia coli" "following following" "new protocol" .
"two copies of the protein" "were located in" "asymmetric unit" .
"crystal packing" "is stabilized by" "C mdash" .
"crystal structure" "adopt" "pi  ndash  " .
"discrete molecules" "stabilized by" "mdash H" .
"The structure of Mycobacterium smegmatis" "has been" "data sets collected from related crystals" .
"exact expression" "given given" "extensive numerical examination of this new expression" .
"planar vinamidinium" "forms" "dihedral angle" .
"active forms" "appears to" "hydrophobic interactions between aromatic systems" .
"Strong dynamic interactions among different beams" "tilting" "major zone axes" .
"crystal structure" "reveals" "Pd atom" .
"multiwavelength anomalous dispersion" "using" "search model" .
"science and scientific" "threatens" "enterprise innovation" .
"benzene rings" "are oriented with" "respect to the naphthalene ring system" .
"transition metal" "has stimulated" "mixed anion" .
"O hydrogen bonds" "link" "parallel to the bc plane" .
"anions and cations" "interact through" "mdash H" .
"Cl hydrogen bonds" "stabilize" "crystal structure" .
"Si framework" "is considered" "sphere packing" .
"Great efforts" "have been" "hydrogenation properties" .
"actual ultrasonic oscillation of the surface" "measured" "stroboscopic system" .
"indole ring systems in all three structures" "deviate" "dihedral angles" .
"in gel and in solution" "is controlled by" "experimental conditions" .
"barrel shape" "contains" "seven  alpha" .
"double diffraction" "induce" "result of streaking effects" .
"photoluminescence properties" "have been" "room temperature" .
"title molecule" "exhibits" "C bond lengths" .
"numerical fitting procedure" "is described" "amplitudes from experimental reflection intensities" .
"of error free diffraction data" "address" "ever more subtle questions" .
"essentially planar" "are tilted by" "deg  with respect to one another" .
"Cl hydrogen bonds" "link" "the organic cations and the uncoordinated chloride ion" .
"measured intensity" "shows" "scattered beams" .
"cooled sample" "be warmed to" "defined examination temperatures either stepwise or continuously" .
"crystal structure" "are linked by" "N mdash H" .
"title compound" "synthesized from" "lactone ring" .
"crystal structure" "are linked" "mdash H" .
"excited iron atom" "has" "absorbed dose" .
"CoII cation" "is surrounded by" "N atoms" .
"atomic form factor" "has been" "radius of gyration R and the absorption coefficient  " .
"recombinant WhNV B2 protein" "has been" "Escherichia coli" .
"thorium and carbon" "be about" "lattice parameter" .
"inclusion of these data" "improve" "quality of experimental phases" .
"Sigma 2 relationships" "were involved in" "phase derivation" .
"asymmetrically cut first crystal" "increase" "effective width of the incident wave" .
"a plasminogen kringle" "have been" "different space groups" .
"crystal structure" "has" "interplanar angle" .
"Crystals of trimeric" "using" "polyethylene glycol as a precipitant" .
"title compound" "has been" "low temperature" .
"crystal packing" "is stabilized by" "C mdash H" .
"interactions form" "enlarged" "centrosymmetric rings" .
"application of the camera" "is illustrated by" "diffraction pattern of a biological specimen" .
"numerical fitting procedure" "is described" "scale factor" .
"intermolecular interactions" "is presented by" "surface analysis" .
"crystal structure" "are linked into" "mdash H" .
"title compound" "obtained through" "corresponding free base" .
"emsp14  Aring  resolution data" "has been" "single crystal" .
"N hydrogen" "link" "linear chains" .
"angular displacement of the Bragg profile" "mapped without" "time resolution" .
"title compound" "has" "independent molecules" .
"problems in this environment" "cause" "resulting phases" .
"O hydrogen bonds" "create" "quasiplanar chains" .
"linear polyethylene" "followed in" "SAXS camera" .
"independent isopropyl group" "are oriented on" "anthracene plane" .
"crystal structure" "be described as" "mdash H" .
"ZnII cation" "is built up" "N atom" .
"CF expressions" "make" "numerical determination" .
"N hydrogen bonds" "connect" "adjacent molecules" .
"sulfate anions" "are interconnected by" "mdash H" .
"resolution of data" "has" "R factors" .
"resulting bPAP construct" "yielded" "bPAP ndash RNA complex" .
"negative charge" "folding to" "functional structures" .
"search of the PDB" "using" "data collected" .
"heavily disordered or nanoscale structural features" "using" "conventional crystallographic technique" .
"similar device" "developed for" "polychromatic experiments" .
"octahedral environment" "is surrounded by" "O atoms" .
"interaction with oppositely charged partners" "folding to" "functional structures" .
"direct method" "calculate" "Fourier map" .
"SAXS intensity" "changing" "Bragg peak intensities" .
"selection of scientific highlights at the SRS" "taken from" "the experimental programmes in which the author was involved" .
"centrosymmetric molecule" "shows" "considerable angle distortion" .
"Crystals of trimeric" "were obtained by" "polyethylene glycol as a precipitant" .
"previous structures" "have been" "proposed catalytic mechanisms" .
"Individual molecules" "are interlinked through" "N mdash H" .
"characterization techniques" "including including" "thermogravimetric analysis" .
"Group separation" "is quantified by" "statistical tools" .
"disease recurrence" "makes" "attractive candidate" .
"molecules or fragments" "be used to" "molecular similarities and differences" .
"Pioneering experiments using synchrotron radiation" "were carried" "innovative instrumentation" .
"CoII cations" "occupy" "crystallographic inversion centres" .
"NiII atom" "is coordinated by" "N atoms" .
"Simple modelling using finite differences" "determining" "acoustic and thermal contributions" .
"alkoxide complexes" "have been" "good route" .
"One region" "is conserved between" "D and trypsin" .
"mean plane" "is in" "quinoline plane" .
"benzene rings" "form" "central ring" .
"details of the upcoming commissioning tests" "submit" "proposals for Laue diffraction experiments" .
"fitting procedure" "leads to" "comprehensive characterization" .
"diastereomeric pairs" "occurring in" "high degree" .
"correction for peak shift" "has" "large influence" .
"molecular components" "are linked by" "N mdash H" .
"centre of inversion" "are linked by" "bridging water molecules" .
"Raman scattering data" "developed to" "phase transitions of polymeric materials" .
"crystallographic data" "provided" "evidence for the mixed ligand species" .
"metal alkoxides" "has been" "initiators and catalysts" .
"new gadolinium ytterbium trifluoride" "has been" "first time" .
"title compound" "shows" "saturable absorption" .
"accurate formulations for most effects" "take" "very little account of diffraction optics" .
"stoichiometric case" "are attributed to" "static distortions" .
"title salt" "contains" "two molecules of thiourea" .
"dispersion surface" "produce" "diffracted intensity" .
