subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,root,root freq,synonyms,pred term,sub term,obj term,level,doc ID
Further consolidation of the crystal structure,extensive O mdash H,is accomplished by,Further consolidation of the crystal structure is accomplished by extensive O mdash H,1,1,1,20,3,accomplish,2,"{'reach', 'action', 'execute', 'attain', 'fulfill', 'fulfil', 'accomplish', 'achieve'}",is:0:accomplished by,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,3,10.1107/S160053681000228X
hydroxy groups,mdash H,are involved in,The hydroxy groups are involved in O mdash H,47,7,128,19,4,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",are:0:involved in,hydroxy:0:group,mdash:0:h,1,10.1107/S1600536809055135
hydroxy groups,O mdash H,are involved in,The hydroxy groups are involved in O mdash H,47,7,51,17,3,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",are:0:involved in,hydroxy:0:group,o:1:mdash:0:h,2,10.1107/S1600536809055135
Ni atom,dianionic pentadentate,is chelated by,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,5,2,1,18,4,chelate,7,{'chelate'},is:0:chelated by,ni:0:atom,dianionic:0:pentadentate,1,10.1107/S1600536809055639
Ni atom,dianionic pentadentate Schiff base,is chelated by,The Ni atom is chelated by a dianionic pentadentate Schiff base via the pyridine N atom the two azomethine N atoms and the two sulfonyl O atoms,5,2,1,18,4,chelate,7,{'chelate'},is:0:chelated by,ni:0:atom,dianionic:0:pentadentate:1:schiff:0:base,2,10.1107/S1600536809055639
ZnII atom,O atoms,is bonded by,The ZnII atom is bonded by two O atoms of the bidentate chelating sulfate ligand and four N atoms of the two chelating 22 prime bipyridine ligands,1,5,28,18,4,bond,15,"{'stick', 'adhere', 'attach', 'tie', 'bind', 'bond'}",is:0:bonded by,znii:0:atom,o:0:atom,1,10.1107/S1600536809055433
NCCN groups,dihedral angle,subtend,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,2,1,44,11,2,subtend,2,"{'subtend', 'delimit'}",subtend,nccn:0:group,dihedral:0:angle,1,10.1107/S1600536809055433
chelating NCCN groups,dihedral angle,subtend,The two chelating NCCN groups subtend a dihedral angle of 811 emsp14 1 deg ,2,1,44,11,2,subtend,2,"{'subtend', 'delimit'}",subtend,chelate:1:nccn:0:group,dihedral:0:angle,2,10.1107/S1600536809055433
crystal structure,mdash H,are connected by,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,17,155,128,70,10,connect,56,"{'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:connected by,crystal:0:structure,mdash:0:h,1,10.1107/S1600536809055433
crystal structure,O mdash H,are connected by,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,17,155,51,68,9,connect,56,"{'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:connected by,crystal:0:structure,o:1:mdash:0:h,2,10.1107/S1600536809055433
crystal structure,intermolecular O mdash H,are connected by,In the crystal structure the ZnSO4C10H8N22 and C2H6O2 units are connected by intermolecular O mdash H,17,155,16,53,8,connect,56,"{'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:connected by,crystal:0:structure,intermolecular:2:o:1:mdash:0:h,3,10.1107/S1600536809055433
title compound,recrystallization from methanol,were obtained by,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,27,302,2,36,4,obtain,84,"{'prevail', 'obtain', 'get', 'incur', 'receive'}",were:0:obtained by,title:0:compound,methanol:0:recrystallization,1,10.1107/S160053681000262X
Crystals of the title compound,recrystallization from methanol,were obtained by,Crystals of the title compound MoC14H13NO2O2CH4O were obtained by recrystallization from methanol,27,4,2,36,4,obtain,84,"{'prevail', 'obtain', 'get', 'incur', 'receive'}",were:0:obtained by,title:0:compound:1:crystal,methanol:0:recrystallization,2,10.1107/S160053681000262X
MoVI atom,O atoms,is coordinated by,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,78,2,28,29,5,coordinate,94,"{'align', 'ordinate', 'organize', 'coordinate', 'organise'}",is:0:coordinated by,movi:0:atom,o:0:atom,1,10.1107/S160053681000262X
MoVI atom,oxide O atoms,is coordinated by,The MoVI atom is coordinated by two oxide O atoms and by two O atoms and one N atom of the tridentate 12oxidopropyliminomethyl2naphtholate Schiff base ligand,78,2,1,23,4,coordinate,94,"{'align', 'ordinate', 'organize', 'coordinate', 'organise'}",is:0:coordinated by,movi:0:atom,oxide:0:o:1:atom,2,10.1107/S160053681000262X
coordination sphere,methanol molecule,is completed by,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,15,2,3,33,8,complete,18,"{'complete', 'nail', 'dispatch', 'discharge', 'finish'}",is:0:completed by,sphere:0:coordination,methanol:0:molecule,1,10.1107/S160053681000262X
methanol molecule,distorted octahedron,yielding,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,3,1,3,12,2,yield,25,"{'afford', 'render', 'soften', 'give', 'yield', 'generate', 'succumb', 'grant', 'cede', 'relent', 'concede'}",yielding,methanol:0:molecule,distort:0:octahedron,1,10.1107/S160053681000262X
coordination sphere,O atom of a methanol molecule,is completed by,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,15,2,1,21,4,complete,18,"{'complete', 'nail', 'dispatch', 'discharge', 'finish'}",is:0:completed by,sphere:0:coordination,methanol:0:molecule:1:o:0:atom,2,10.1107/S160053681000262X
O atom of a methanol molecule,distorted octahedron,yielding,The coordination sphere is completed by the O atom of a methanol molecule yielding a distorted octahedron,3,1,3,12,2,yield,25,"{'afford', 'render', 'soften', 'give', 'yield', 'generate', 'succumb', 'grant', 'cede', 'relent', 'concede'}",yielding,methanol:0:molecule:1:o:0:atom,distort:0:octahedron,2,10.1107/S160053681000262X
AuIII atom,coordination geometry,adopts,In the title compound C21H22N2AuCl4Cl the AuIII atom adopts a squareplanar coordination geometry defined by four chloride ions,50,1,11,23,3,adopt,67,"{'borrow', 'espouse', 'follow', 'dramatise', 'dramatize', 'acquire', 'embrace', 'take', 'adopt', 'assume'}",adopts,auiii:0:atom,coordination:0:geometry,1,10.1107/S1600536810002886
hydrogen bonds,organic cations,link,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,61,47,2,10,2,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",link,hydrogen:0:bond,organic:0:cation,1,10.1107/S1600536810002886
Cl hydrogen bonds,organic cations,link,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,61,8,2,10,2,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",link,cl:1:hydrogen:0:bond,organic:0:cation,2,10.1107/S1600536810002886
Cl hydrogen bonds,the organic cations and the uncoordinated chloride ion,link,Cl hydrogen bonds link the organic cations and the uncoordinated chloride ion,61,8,1,6,1,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",link,cl:1:hydrogen:0:bond,uncoordinated:1:chloride:0:ion:2:organic:0:cation,3,10.1107/S1600536810002886
title compound,mdash H,is stabilized by,The molecular conformation of the title compound C16H22N4O2S2 is stabilized by two intramolecular N mdash H,156,302,128,52,7,stabilize,182,"{'steady', 'stabilize', 'stabilise', 'brace'}",is:0:stabilized by,title:0:compound,mdash:0:h,1,10.1107/S1600536810001789
methylsulfinyl substituent,opposite sides,are located on,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,18,1,2,16,3,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,methylsulfinyl:0:substituent,opposite:0:side,1,10.1107/S1600536810001157
methyl group of the methylsulfinyl substituent,opposite sides of the plane,are located on,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,18,1,2,16,3,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,methylsulfinyl:0:substituent:1:methyl:0:group,plane:1:opposite:0:side,2,10.1107/S1600536810001157
the O atom and the methyl group of the methylsulfinyl substituent,opposite sides of the plane,are located on,In the title compound C15H10ClFO2S the O atom and the methyl group of the methylsulfinyl substituent are located on opposite sides of the plane through the benzofuran fragment,18,1,2,16,3,locate,34,"{'settle', 'locate', 'site', 'place', 'situate'}",are:0:located on,methylsulfinyl:0:substituent:1:methyl:0:group:2:o:0:atom,plane:1:opposite:0:side,3,10.1107/S1600536810001157
benzofuran plane,dihedral angle,indicated by,The 4chlorophenyl ring is rotated out of the benzofuran plane as indicated by the dihedral angle of 2104 emsp14 4 deg ,6,1,44,21,4,indicate,35,"{'indicate', 'suggest', 'betoken', 'argue', 'bespeak', 'point', 'signal', 'show'}",indicated by,benzofuran:0:plane,dihedral:0:angle,1,10.1107/S1600536810001157
crystal structure,C mdash,exhibits,The crystal structure exhibits a weak intermolecular C mdash H,38,155,40,32,4,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibits,crystal:0:structure,c:0:mdash,1,10.1107/S1600536810001157
crystal structure,C mdash H,exhibits,The crystal structure exhibits a weak intermolecular C mdash H,38,155,61,32,4,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibits,crystal:0:structure,c:0:mdash:1:h,2,10.1107/S1600536810001157
crystal structure,intermolecular C mdash H,exhibits,The crystal structure exhibits a weak intermolecular C mdash H,38,155,22,17,3,exhibit,46,"{'expose', 'exhibit', 'parade', 'present', 'display', 'demo', 'show', 'march', 'demonstrate'}",exhibits,crystal:0:structure,intermolecular:2:c:0:mdash:1:h,3,10.1107/S1600536810001157
title compound,pyrazole ring,is composed of,The title compound C25H19N3 is composed of an arylsubstituted pyrazole ring connected to an arylsubstituted isoquinoline ring system with a dihedral angle of 527 emsp14 1 deg  between the pyrazole ring and the isoquinoline ring system,10,302,2,44,6,compose,13,"{'frame', 'pen', 'compile', 'write', 'indite', 'compose'}",is:0:composed of,title:0:compound,pyrazole:0:ring,1,10.1107/S160053680905572X
S atom,tetrahedral geometry,is bonded in,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,5,4,6,26,5,bond,15,"{'stick', 'adhere', 'attach', 'tie', 'bind', 'bond'}",is:0:bonded in,s:0:atom,tetrahedral:0:geometry,1,10.1107/S1600536810001121
S atom,distorted tetrahedral geometry,is bonded in,In the title compound C11H11ClN4O3S the S atom is bonded in a distorted tetrahedral geometry by two O atoms a C atom of the benzene ring and an amino N atom,5,4,2,16,4,bond,15,"{'stick', 'adhere', 'attach', 'tie', 'bind', 'bond'}",is:0:bonded in,s:0:atom,distort:1:tetrahedral:0:geometry,2,10.1107/S1600536810001121
pyrimidine ring,dihedral angle,forms,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,32,3,44,57,9,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",forms,pyrimidine:0:ring,dihedral:0:angle,1,10.1107/S1600536810001121
essentially planar pyrimidine ring,dihedral angle,forms,The essentially planar pyrimidine ring maximum deviation  0020 emsp14 1 emsp14  Aring  forms a dihedral angle of 8757 emsp14 5 deg  with the benzene ring,32,1,44,57,9,form,139,"{'mould', 'spring', 'shape', 'organize', 'form', 'mold', 'imprint', 'constitute', 'organise', 'forge'}",forms,essentially:0:planar:1:pyrimidine:0:ring,dihedral:0:angle,2,10.1107/S1600536810001121
pairs of molecules,mdash H,are linked by,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,50,3,128,32,5,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked by,molecule:0:pair,mdash:0:h,1,10.1107/S1600536810001121
pairs of molecules,N mdash H,are linked by,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,50,3,50,30,4,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked by,molecule:0:pair,n:1:mdash:0:h,2,10.1107/S1600536810001121
pairs of molecules,intermolecular N mdash H,are linked by,In the crystal structure pairs of molecules are linked by intermolecular N mdash H,50,3,11,15,3,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked by,molecule:0:pair,intermolecular:2:n:1:mdash:0:h,3,10.1107/S1600536810001121
pyrrole rings,propanol chain,are inclined to,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,4,2,1,60,12,incline,10,"{'tend', 'incline', 'slope', 'pitch', 'dispose', 'lean'}",are:0:inclined to,pyrrole:0:ring,propanol:0:chain,1,10.1107/S1600536809054269
propanol chain,extended conformation,is in,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,56,1,8,10,3,be,474,"{'be', 'represent', 'personify', 'comprise', 'embody', 'exist', 'constitute', 'equal'}",is in,propanol:0:chain,extend:0:conformation,1,10.1107/S1600536809054269
pyrrole rings,the propanol chain is in an extended conformation,are inclined to,The pyrrole rings are inclined to one another by 6230 emsp14 11 deg  and the propanol chain is in an extended conformation,4,2,1,56,11,incline,10,"{'tend', 'incline', 'slope', 'pitch', 'dispose', 'lean'}",are:0:inclined to,pyrrole:0:ring,propanol:0:chain:1:extend:0:conformation,2,10.1107/S1600536809054269
NH groups,mdash H,are involved in,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,47,1,128,34,5,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",are:0:involved in,nh:0:group,mdash:0:h,1,10.1107/S1600536809054269
two pyrrole NH groups,N mdash H,are involved in,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,47,2,50,32,4,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",are:0:involved in,pyrrole:1:nh:0:group,n:1:mdash:0:h,2,10.1107/S1600536809054269
two pyrrole NH groups,intermolecular N mdash H,are involved in,In the crystal the two pyrrole NH groups are involved in intermolecular N mdash H,47,2,11,17,3,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",are:0:involved in,pyrrole:1:nh:0:group,intermolecular:2:n:1:mdash:0:h,3,10.1107/S1600536809054269
title molecule,E conformation,features,The title molecule C12H12N2O6 features an E conformation about the oxime group,32,21,3,24,3,feature,32,"{'feature', 'sport', 'have', 'boast'}",features,title:0:molecule,e:0:conformation,1,10.1107/S1600536810001583
title molecule,E conformation about the oxime group,features,The title molecule C12H12N2O6 features an E conformation about the oxime group,32,21,1,24,3,feature,32,"{'feature', 'sport', 'have', 'boast'}",features,title:0:molecule,oxime:0:group:1:e:0:conformation,2,10.1107/S1600536810001583
crystal structure,mdash H,is consolidated by,The crystal structure is consolidated by C mdash H,11,155,128,22,4,consolidate,18,{'consolidate'},is:0:consolidated by,crystal:0:structure,mdash:0:h,1,10.1107/S1600536810001583
crystal structure,C mdash H,is consolidated by,The crystal structure is consolidated by C mdash H,11,155,61,20,3,consolidate,18,{'consolidate'},is:0:consolidated by,crystal:0:structure,c:1:mdash:0:h,2,10.1107/S1600536810001583
methylsulfanyl group,aromatic  pi  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,48,2,3,37,5,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",show,methylsulfanyl:0:group,aromatic:0:pi,1,10.1107/S0108270102020681
methylsulfanyl group,aromatic  pi  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,10,2,3,37,5,stack,15,"{'stack', 'heap', 'pile'}",stacking,methylsulfanyl:0:group,aromatic:0:pi,1,10.1107/S0108270102020681
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,show,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,48,4,3,37,5,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",show,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S0108270102020681
pyrrolidine substituent or a methylsulfanyl group,aromatic  pi  ndash  ,stacking,The crystal structures of 1546bismethylsulfanyl2Hpyrazolo34dpyrimidin2ylpentyl6methylsulfanyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C22H29N9S3 and 6methylsulfanyl156methylsulfanyl4pyrrolidin1yl2Hpyrazolo34dpyrimidin2ylpentyl4pyrrolidin1yl1Hpyrazolo34dpyrimidine C25H34N10S2 which differ in having either a pyrrolidine substituent or a methylsulfanyl group show intermolecular stacking due to aromatic  pi  ndash  pi  interactions between the pyrazolo34dpyrimidine rings,10,4,3,37,5,stack,15,"{'stack', 'heap', 'pile'}",stacking,methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,2,10.1107/S0108270102020681
