orig,new,sentence
protox:0:inhibitor:1:know:2:title:0:compound,proton:0:inhibitor:1:know:2:title:0:compound,The title compound C16H16ClFN2O3 known as a protox inhibitor was synthesized from 7fluoro2Hbenz14oxazin34Hone
protox:0:inhibitor,proton:0:inhibitor,The title compound C16H16ClFN2O3 known as a protox inhibitor was synthesized from 7fluoro2Hbenz14oxazin34Hone
.:0:scand,.:0:stand,Scand
scand,stand,Scand
human:0:mitochondrion:1:deinococcus:0:radioduran:2:escherichia:0:coli:3:mycobacterial:0:ssb,human:0:mitochondrion:1:deinococcus:0:radiodurans:2:escherichia:0:coli:3:mycobacterial:0:ssb,The central OB fold is conserved in mycobacterial SSBs as well as those from Escherichia coli Deinococcus radiodurans and human mitochondria
human:0:mitochondrion:1:deinococcus:0:radioduran:2:escherichia:0:coli,human:0:mitochondrion:1:deinococcus:0:radiodurans:2:escherichia:0:coli,The central OB fold is conserved in mycobacterial SSBs as well as those from Escherichia coli Deinococcus radiodurans and human mitochondria
human:0:mitochondrion:1:deinococcus:0:radioduran,human:0:mitochondrion:1:deinococcus:0:radiodurans,The central OB fold is conserved in mycobacterial SSBs as well as those from Escherichia coli Deinococcus radiodurans and human mitochondria
deinococcus:0:radioduran,deinococcus:0:radiodurans,The central OB fold is conserved in mycobacterial SSBs as well as those from Escherichia coli Deinococcus radiodurans and human mitochondria
radioduran,radiodurans,The central OB fold is conserved in mycobacterial SSBs as well as those from Escherichia coli Deinococcus radiodurans and human mitochondria
.:8:slightly:0:distort:1:octahedral:0:geometry:2:form:6:-:4:be:1:-:0:bdc:2:carboxylate:1:o:0:atom:3:coordinate:5:chelate:0:molecule:1:n:0:atom:2:ligand:7:title:0:coordinaltion:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,.:8:slightly:0:distort:1:octahedral:0:geometry:2:form:6:-:4:be:1:-:0:bdc:2:carboxylate:1:o:0:atom:3:coordinate:5:chelate:0:molecule:1:n:0:atom:2:ligand:7:title:0:coordination:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
slightly:0:distort:1:octahedral:0:geometry:2:form:6:-:4:be:1:-:0:bdc:2:carboxylate:1:o:0:atom:3:coordinate:5:chelate:0:molecule:1:n:0:atom:2:ligand:7:title:0:coordinaltion:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,slightly:0:distort:1:octahedral:0:geometry:2:form:6:-:4:be:1:-:0:bdc:2:carboxylate:1:o:0:atom:3:coordinate:5:chelate:0:molecule:1:n:0:atom:2:ligand:7:title:0:coordination:1:polymer:2:in:3:twofold:1:rotation:0:axis:2:lie:3:cdii:0:atom,In the title coordinaltion polymer CdC8H4O4C8H7N32n the CdII atom lying on a twofold rotation axis is sixcoordinated by two carboxylate O atoms from two benzene13dicarboxylate mBDC ligands and four N atoms from two chelating 22pyridylimidazole molecules forming a slightly distorted octahedral geometry
