doc ID,topic pairs
10.1107/S160053681000228X,"[(112, 0.9502603174663236)]"
10.1107/S1600536809055135,"[(7, 0.8771954314508572)]"
10.1107/S1600536809055639,"[(7, 0.9622139789085142)]"
10.1107/S1600536809055433,"[(7, 0.7538054122752796), (104, 0.21257820263464144)]"
10.1107/S1600536810002229,"[(86, 0.6666680454219137), (12, 0.26797972523508423)]"
10.1107/S160053681000262X,"[(1, 0.523391601902296), (4, 0.42040560307371466)]"
10.1107/S1600536810002886,"[(5, 0.9296499759152783)]"
10.1107/S1600536810002308,"[(75, 0.9530107316502073)]"
10.1107/S1600536810001789,"[(1, 0.9250314102153754)]"
10.1107/S1600536810001157,"[(5, 0.9481631401480998)]"
10.1107/S160053680905572X,"[(142, 0.5107335903423705), (139, 0.39896194724816)]"
10.1107/S1600536810001121,"[(0, 0.617759198763369), (7, 0.3502843233559502)]"
10.1107/S1600536809054269,"[(137, 0.965633741677005)]"
10.1107/S1600536810001583,"[(0, 0.942573071291536)]"
10.1107/S0108270102020681,"[(0, 0.635972838013859), (111, 0.25588593390730946)]"
10.1107/S1600536810002564,"[(50, 0.9604994729847014)]"
10.1107/S1600536810001881,"[(7, 0.9106875831306012)]"
10.1107/S1600536810002266,"[(27, 0.7516976385936807)]"
10.1107/S0108270102021819,"[(117, 0.9547410332277021)]"
10.1107/S0108270100003371,"[(27, 0.8013581108980631)]"
10.1107/S0108270199016339,"[(21, 0.9504269183247248)]"
10.1107/S0108270100000615,"[(110, 0.4326067921978789), (93, 0.42593703891202706)]"
10.1107/S0108270199016923,"[(23, 0.93426419628581)]"
10.1107/S0907444904006559,"[(71, 0.969058679104438)]"
10.1107/S1600536804023086,"[(46, 0.941685915951652)]"
10.1107/S1600536804020690,"[(11, 0.9453227156155284)]"
10.1107/S1600536804021270,"[(126, 0.9169123770220083)]"
10.1107/S160053680402121X,"[(116, 0.8757865111702813)]"
10.1107/S1600536804021385,"[(44, 0.9237036294870858)]"
10.1107/S1600536804021786,"[(5, 0.47842931303137903), (21, 0.45647988892251445)]"
10.1107/S1600536804022160,"[(29, 0.9341887932182981)]"
10.1107/S0108270199015607,"[(21, 0.9632791987590553)]"
10.1107/S1600536804023682,"[(77, 0.7234281263522081), (1, 0.2119184405550699)]"
10.1107/S1600536804024043,"[(0, 0.7470140168869797), (29, 0.16540181131580137)]"
10.1107/S0108270104017883,"[(54, 0.9634318913159731)]"
