numtop,ratio,resistance,coherence,totaltopics
5,0.05,0.3,0.8445044012191277,6
5,0.05,0.3,0.8430080479400669,6
5,0.05,0.35,0.8459256497598772,8
5,0.05,0.4,0.8382313198153126,14
5,0.05,0.45,0.8307243355337541,25
5,0.05,0.5,0.8192409766923971,35
5,0.1,0.3,0.8361179042664142,7
5,0.1,0.35,0.8442303915934719,10
5,0.1,0.4,0.8342052151867072,22
5,0.1,0.45,0.8218534985025462,34
5,0.1,0.5,0.8055111914024797,53
5,0.25,0.3,0.8497713439719691,9
5,0.25,0.35,0.8293698872448211,20
5,0.25,0.4,0.8130823011119223,40
5,0.25,0.45,0.7975264372335986,77
5,0.25,0.5,0.7938356823965829,113
5,0.5,0.3,0.844827316927241,9
5,0.5,0.35,0.8048276942007319,28
5,0.5,0.4,0.7997605828877089,77
5,0.5,0.45,0.7906677967547524,136
5,0.5,0.5,0.7882174024639158,204
10,0.05,0.3,0.8358070799423171,12
10,0.05,0.35,0.8281864145158205,14
10,0.05,0.4,0.833261615046726,23
10,0.05,0.45,0.8288476665256366,31
10,0.05,0.5,0.8207761592694368,40
10,0.1,0.3,0.8206438276619923,13
10,0.1,0.35,0.8363815881871048,19
10,0.1,0.4,0.8291337770544723,28
10,0.1,0.45,0.8153809297411111,44
10,0.1,0.5,0.8107787813281383,58
10,0.25,0.3,0.8356964230285977,14
10,0.25,0.35,0.8226475027329023,31
10,0.25,0.4,0.8017006614045616,55
10,0.25,0.45,0.7991367610789011,85
10,0.25,0.5,0.7929314219028472,125
10,0.5,0.3,0.8200740076648059,21
10,0.5,0.35,0.8103710182726085,49
10,0.5,0.4,0.7956151040454753,98
10,0.5,0.45,0.7909255286422582,161
10,0.5,0.5,0.7887389767408118,247
10,0.05,0.3,0.8296166844448121,12
10,0.05,0.35,0.8358770484802239,14
10,0.05,0.4,0.8365423670794727,21
20,0.05,0.3,0.8168071178501365,22
20,0.05,0.35,0.8224726378914785,24
20,0.05,0.4,0.8240627355163813,29
20,0.05,0.45,0.8209691181701665,38
20,0.05,0.5,0.820077185678375,46
20,0.1,0.3,0.8123899067461046,22
20,0.1,0.35,0.8106373118648708,26
20,0.1,0.4,0.8187324359703912,38
20,0.1,0.45,0.8189088684935656,48
20,0.1,0.5,0.8104203534437528,60
20,0.25,0.3,0.8219091895119789,25
20,0.25,0.35,0.8170394872748574,35
20,0.25,0.4,0.8064797979199083,59
20,0.25,0.45,0.8026374713510668,87
20,0.25,0.5,0.7968759593346713,109
20,0.5,0.3,0.8174428317425687,32
20,0.5,0.35,0.8134008502195936,47
20,0.5,0.4,0.802183179439565,93
20,0.5,0.45,0.790616875573446,133
20,0.5,0.5,0.7918992329295655,209
50,0.05,0.3,0.802140400343695,51
50,0.05,0.35,0.7920287527873507,52
50,0.05,0.4,0.8039341813542457,54
50,0.05,0.45,0.8075710313137242,57
50,0.05,0.5,0.8066835787082028,65
50,0.1,0.3,0.8008741495730961,51
50,0.1,0.35,0.8021048313643715,53
50,0.1,0.4,0.8059932313656056,58
50,0.1,0.45,0.8047439746462584,61
50,0.1,0.5,0.8046408063575644,71
50,0.25,0.3,0.8042260469890267,53
50,0.25,0.35,0.8032947510120737,56
50,0.25,0.4,0.8054642125819724,67
50,0.25,0.45,0.8056631503622145,75
50,0.25,0.5,0.8029534505678363,97
50,0.5,0.3,0.8024508419090395,56
50,0.5,0.35,0.8043759851224257,59
50,0.5,0.4,0.8010399998283693,79
50,0.5,0.45,0.798231648090181,97
50,0.5,0.5,0.7924483927849973,143
5,0.01,0.3,0.8497682703101076,6
5,0.01,0.35,0.8446048478048026,6
5,0.01,0.4,0.8427460708740135,7
5,0.01,0.45,0.8367025317168371,9
5,0.01,0.5,0.8465319254862352,12
5,0.02,0.3,0.8395890023462061,6
5,0.02,0.35,0.845245818159002,7
5,0.02,0.4,0.8498138027758027,9
5,0.02,0.45,0.843079898622537,15
5,0.02,0.5,0.8357277979835533,19
10,0.01,0.3,0.8327958726292235,11
10,0.01,0.35,0.8321225987182899,11
10,0.01,0.4,0.8331191370795233,12
10,0.01,0.45,0.837449241722603,14
10,0.01,0.5,0.8378574690681658,17
10,0.02,0.3,0.8318433042124085,11
10,0.02,0.35,0.834142622286551,12
10,0.02,0.4,0.8343517937734422,15
10,0.02,0.45,0.838501031680611,20
10,0.02,0.5,0.8362066585727096,25
20,0.01,0.3,0.8140663668999237,21
20,0.01,0.35,0.8200648801609877,21
20,0.01,0.4,0.8205581834859735,22
20,0.01,0.45,0.823476262780476,24
20,0.01,0.5,0.8219312769156596,26
20,0.02,0.3,0.8193600253472015,21
20,0.02,0.35,0.8188599779049963,22
20,0.02,0.4,0.8220264509822189,24
20,0.02,0.45,0.8244184040081839,27
20,0.02,0.5,0.8238016996747156,31
50,0.01,0.3,0.8048609266241772,51
50,0.01,0.35,0.8022933197540615,51
50,0.01,0.4,0.8036076045169213,51
50,0.01,0.45,0.7965298830167507,52
50,0.01,0.5,0.8027405650823101,52
50,0.02,0.3,0.7982039448443105,51
50,0.02,0.35,0.7930453478279886,51
50,0.02,0.4,0.796622998558359,51
50,0.02,0.45,0.803753819880507,52
50,0.02,0.5,0.8002552495011767,56
