char dist,word dist,stem,sub term,obj term,doc ID
13,3,lead,coefficient:0:r:1:march:0:function,intensity:1:correction:0:factor,10.1107/S0021889800012267
23,4,lead,coefficient:0:r,correction:0:factor,10.1107/S0021889800012267
39,5,use,march:0:function,correction:0:function,10.1107/S0021889800012267
21,4,be,report:0:study:1:purpose,lot:0:method:1:rietveld:0:refinement,10.1107/S0021889801002898
21,4,determine,report:0:study:1:purpose,lot:0:method:1:rietveld:0:refinement,10.1107/S0021889801002898
21,5,use,lot:0:method,rietveld:0:refinement,10.1107/S0021889801002898
25,5,be,report:0:study,lot:0:method,10.1107/S0021889801002898
25,5,determine,report:0:study,lot:0:method,10.1107/S0021889801002898
28,5,show,refinement:1:model:0:calculation,site:1:occupancy:0:factor:2:determination,10.1107/S0021889801002898
49,8,show,refinement:1:model:0:calculation,site:1:occupancy:0:factor,10.1107/S0021889801002898
57,10,carry,powder:0:diffraction:1:datum,lot:0:method:1:successful:0:application,10.1107/S0021889801002898
57,10,check,powder:0:diffraction:1:datum,lot:0:method:1:successful:0:application,10.1107/S0021889801002898
57,10,carry,calculate:2:powder:0:diffraction:1:datum,lot:0:method:1:successful:0:application,10.1107/S0021889801002898
57,10,check,calculate:2:powder:0:diffraction:1:datum,lot:0:method:1:successful:0:application,10.1107/S0021889801002898
62,11,carry,powder:0:diffraction,successful:0:application,10.1107/S0021889801002898
62,11,check,powder:0:diffraction,successful:0:application,10.1107/S0021889801002898
9,2,use,lattice:0:crystal,construction:0:kit,10.1107/S0021889801003624
9,2,use,lattice:0:crystal:1:real:0:model,construction:0:kit,10.1107/S0021889801003624
10,2,build,construction:0:kit,protein:1:secondary:0:structure:2:model,10.1107/S0021889801003624
12,2,develop,macromolecular:0:structure:1:principle,macromolecular:0:model:1:assess:2:confidence,10.1107/S0021889801003624
12,2,develop,macromolecular:0:structure:1:principle,macromolecular:0:model:1:assess:2:confidence,10.1107/S0021889801003624
16,3,be,modern:0:diffraction:1:methodology,macromolecular:0:structure:1:principle,10.1107/S0021889801003624
16,3,discuss,modern:0:diffraction:1:methodology,macromolecular:0:structure:1:principle,10.1107/S0021889801003624
16,3,be,modern:0:diffraction:1:methodology:2:crystallographic:0:terminology,macromolecular:0:structure:1:principle,10.1107/S0021889801003624
16,3,discuss,modern:0:diffraction:1:methodology:2:crystallographic:0:terminology,macromolecular:0:structure:1:principle,10.1107/S0021889801003624
17,3,be,lecture:0:course,crystallographic:0:terminology,10.1107/S0021889801003624
17,3,introduce,lecture:0:course,crystallographic:0:terminology,10.1107/S0021889801003624
17,3,be,lecture:0:course:1:general:0:aim,crystallographic:0:terminology,10.1107/S0021889801003624
17,3,introduce,lecture:0:course:1:general:0:aim,crystallographic:0:terminology,10.1107/S0021889801003624
17,3,be,lecture:0:course:1:general:0:aim,modern:0:diffraction:1:methodology:2:crystallographic:0:terminology,10.1107/S0021889801003624
17,3,introduce,lecture:0:course:1:general:0:aim,modern:0:diffraction:1:methodology:2:crystallographic:0:terminology,10.1107/S0021889801003624
20,4,build,construction:0:kit,protein:1:secondary:0:structure,10.1107/S0021889801003624
24,4,work,practical:0:class,real:0:model,10.1107/S0021889801003624
24,4,work,practical:0:class,lattice:0:crystal:1:real:0:model,10.1107/S0021889801003624
28,5,build,construction:0:kit,secondary:0:structure,10.1107/S0021889801003624
36,5,develop,macromolecular:0:structure,macromolecular:0:model,10.1107/S0021889801003624
36,5,develop,macromolecular:0:structure,macromolecular:0:model,10.1107/S0021889801003624
36,5,develop,macromolecular:0:structure:1:principle,macromolecular:0:model,10.1107/S0021889801003624
36,5,develop,macromolecular:0:structure:1:principle,macromolecular:0:model,10.1107/S0021889801003624
37,5,depend,methodology:0:crystallographic:0:concept,student:0:background,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,extract,macromolecular:0:model,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model:1:assess:2:confidence,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model:1:assess:2:confidence,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,extract,macromolecular:0:model:1:assess:2:confidence,crystallographic:0:literature:1:biostructural:0:information,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model,biostructural:0:information,10.1107/S0021889801003624
37,6,develop,macromolecular:0:model,biostructural:0:information,10.1107/S0021889801003624
37,6,extract,macromolecular:0:model,biostructural:0:information,10.1107/S0021889801003624
42,6,be,modern:0:diffraction,macromolecular:0:structure,10.1107/S0021889801003624
42,6,discuss,modern:0:diffraction,macromolecular:0:structure,10.1107/S0021889801003624
31,5,suggest,pragmatic:0:simple:1:method,crystallite:0:size:1:distribution,10.1107/S0021889801003715
31,5,determine,pragmatic:0:simple:1:method,crystallite:0:size:1:distribution,10.1107/S0021889801003715
31,5,suggest,pragmatic:0:simple:1:method,strain:0:presence:2:crystallite:0:size:1:distribution,10.1107/S0021889801003715
31,5,determine,pragmatic:0:simple:1:method,strain:0:presence:2:crystallite:0:size:1:distribution,10.1107/S0021889801003715
52,7,compare,size:0:distribution,transmission:0:electron,10.1107/S0021889801003715
52,7,compare,size:0:distribution,transmission:0:electron:1:microscopy,10.1107/S0021889801003715
59,9,fit,measure:1:physical:0:profile,size:1:initio:0:function,10.1107/S0021889801003715
59,9,fit,measure:1:physical:0:profile:2:fourier:0:coefficient,size:1:initio:0:function,10.1107/S0021889801003715
59,9,fit,physical:0:profile,initio:0:function,10.1107/S0021889801003715
65,10,analyse,diffraction:0:profile:2:ï»¿1:1:fourier:0:coefficient,averbach:0:procedure,10.1107/S0021889801003715
89,13,analyse,fourier:0:coefficient,averbach:0:procedure,10.1107/S0021889801003715
89,13,analyse,1:1:fourier:0:coefficient,averbach:0:procedure,10.1107/S0021889801003715
145,21,assess,polycapillary:0:monocapillary:1:design,micro:1:be:0:crystal,10.1107/S0021889801003715
145,21,evaluate,polycapillary:0:monocapillary:1:design,micro:1:be:0:crystal,10.1107/S0021889801003715
145,21,increase,polycapillary:0:monocapillary:1:design,micro:1:be:0:crystal,10.1107/S0021889801003715
159,23,assess,polycapillary:0:monocapillary,be:0:crystal,10.1107/S0021889801003715
159,23,evaluate,polycapillary:0:monocapillary,be:0:crystal,10.1107/S0021889801003715
159,23,increase,polycapillary:0:monocapillary,be:0:crystal,10.1107/S0021889801003715
10,2,cause,deformation:0:process,domain:0:size:1:decrease,10.1107/S0021889801004009
11,1,indicate,wa:0:analysis,significant:1:plastic:0:strain,10.1107/S0021889801004009
11,2,produce,mill:1:initial:0:stage,broaden:0:size:1:propensity,10.1107/S0021889801004009
23,2,indicate,wa:0:analysis,plastic:0:strain,10.1107/S0021889801004009
26,5,cause,deformation:0:process,domain:0:size,10.1107/S0021889801004009
37,6,produce,initial:0:stage,broaden:0:size,10.1107/S0021889801004009
