sub term,obj term,doc ID
crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,10.1107/S160053681000228X
hydroxy:0:group,mdash:0:h,10.1107/S1600536809055135
hydroxy:0:group,o:1:mdash:0:h,10.1107/S1600536809055135
ni:0:atom,dianionic:0:pentadentate,10.1107/S1600536809055639
ni:0:atom,dianionic:0:pentadentate:1:schiff:0:base,10.1107/S1600536809055639
znii:0:atom,o:0:atom,10.1107/S1600536809055433
nccn:0:group,dihedral:0:angle,10.1107/S1600536809055433
chelate:1:nccn:0:group,dihedral:0:angle,10.1107/S1600536809055433
crystal:0:structure,mdash:0:h,10.1107/S1600536809055433
crystal:0:structure,o:1:mdash:0:h,10.1107/S1600536809055433
crystal:0:structure,intermolecular:2:o:1:mdash:0:h,10.1107/S1600536809055433
title:0:compound,methanol:0:recrystallization,10.1107/S160053681000262X
title:0:compound:1:crystal,methanol:0:recrystallization,10.1107/S160053681000262X
movi:0:atom,o:0:atom,10.1107/S160053681000262X
movi:0:atom,oxide:0:o:1:atom,10.1107/S160053681000262X
sphere:0:coordination,methanol:0:molecule,10.1107/S160053681000262X
methanol:0:molecule,distort:0:octahedron,10.1107/S160053681000262X
sphere:0:coordination,methanol:0:molecule:1:o:0:atom,10.1107/S160053681000262X
methanol:0:molecule:1:o:0:atom,distort:0:octahedron,10.1107/S160053681000262X
auiii:0:atom,coordination:0:geometry,10.1107/S1600536810002886
hydrogen:0:bond,organic:0:cation,10.1107/S1600536810002308
cl:1:hydrogen:0:bond,organic:0:cation,10.1107/S1600536810002308
cl:1:hydrogen:0:bond,uncoordinated:1:chloride:0:ion:2:organic:0:cation,10.1107/S1600536810002308
title:0:compound,mdash:0:h,10.1107/S1600536810001789
methylsulfinyl:0:substituent,opposite:0:side,10.1107/S1600536810001157
methylsulfinyl:0:substituent:1:methyl:0:group,plane:1:opposite:0:side,10.1107/S1600536810001157
methylsulfinyl:0:substituent:1:methyl:0:group:2:o:0:atom,plane:1:opposite:0:side,10.1107/S1600536810001157
benzofuran:0:plane,dihedral:0:angle,10.1107/S1600536810001157
crystal:0:structure,c:0:mdash,10.1107/S1600536810001157
crystal:0:structure,c:0:mdash:1:h,10.1107/S1600536810001157
crystal:0:structure,intermolecular:2:c:0:mdash:1:h,10.1107/S1600536810001157
title:0:compound,pyrazole:0:ring,10.1107/S160053680905572X
s:0:atom,tetrahedral:0:geometry,10.1107/S1600536810001121
s:0:atom,distort:1:tetrahedral:0:geometry,10.1107/S1600536810001121
pyrimidine:0:ring,dihedral:0:angle,10.1107/S1600536810001121
essentially:0:planar:1:pyrimidine:0:ring,dihedral:0:angle,10.1107/S1600536810001121
molecule:0:pair,mdash:0:h,10.1107/S1600536810001121
molecule:0:pair,n:1:mdash:0:h,10.1107/S1600536810001121
molecule:0:pair,intermolecular:2:n:1:mdash:0:h,10.1107/S1600536810001121
pyrrole:0:ring,propanol:0:chain,10.1107/S1600536809054269
propanol:0:chain,extend:0:conformation,10.1107/S1600536809054269
pyrrole:0:ring,propanol:0:chain:1:extend:0:conformation,10.1107/S1600536809054269
nh:0:group,mdash:0:h,10.1107/S1600536809054269
pyrrole:1:nh:0:group,n:1:mdash:0:h,10.1107/S1600536809054269
pyrrole:1:nh:0:group,intermolecular:2:n:1:mdash:0:h,10.1107/S1600536809054269
title:0:molecule,e:0:conformation,10.1107/S1600536810001583
title:0:molecule,oxime:0:group:1:e:0:conformation,10.1107/S1600536810001583
crystal:0:structure,mdash:0:h,10.1107/S1600536810001583
crystal:0:structure,c:1:mdash:0:h,10.1107/S1600536810001583
methylsulfanyl:0:group,aromatic:0:pi,10.1107/S1600536810002564
methylsulfanyl:0:group,aromatic:0:pi,10.1107/S1600536810002564
methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,10.1107/S1600536810002564
methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash,10.1107/S1600536810002564
methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,10.1107/S1600536810002564
methylsulfanyl:0:group:1:pyrrolidine:0:substituent,aromatic:0:pi:1:ndash:2:pi,10.1107/S1600536810002564
asymmetric:0:unit,perchlorate:0:anion,10.1107/S1600536810002564
hydrogen:0:bond,carbonyl:0:link,10.1107/S1600536810002564
strong:1:hydrogen:0:bond,carbonyl:0:link,10.1107/S1600536810002564
absolute:0:configuration,title:0:compound,10.1107/S0108270100003371
si:0:frame,si:0:distance,10.1107/S0108270100000615
metal:0:atom,tptz:0:ligand,10.1107/S0108270199016923
sulfonamide:0:group,mdash:0:h,10.1107/S0108270199016923
sulfonamide:0:group,n:1:mdash:0:h,10.1107/S0108270199016923
mosaicity:0:maximum:0:resolution,diffraction:0:condition,10.1107/S0907444904006559
mosaicity:0:maximum:0:resolution,experimental:1:diffraction:0:condition,10.1107/S0907444904006559
plot:0:method,b:0:factor,10.1107/S0907444904006559
plot:0:method,b:0:factor,10.1107/S0907444904006559
wilson:1:plot:0:method,overall:1:b:0:factor,10.1107/S0907444904006559
wilson:1:plot:0:method,overall:1:b:0:factor,10.1107/S0907444904006559
relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,10.1107/S0907444904006559
relative:2:wilson:1:plot:0:method,plot:0:obtain:2:overall:1:b:0:factor,10.1107/S0907444904006559
wilson:0:plot,sulfite:0:reductase,10.1107/S0907444904006559
relative:1:wilson:0:plot,dissimilatory:1:sulfite:0:reductase,10.1107/S0907444904006559
hewl:1:crystal:0:quality:2:case,crystallization:0:phase:1:diagram:2:region,10.1107/S1600536804023086
hewl:1:crystal:0:quality:2:case,crystallization:0:phase:1:diagram:2:region,10.1107/S1600536804023086
title:0:compound,palladium:0:center,10.1107/S1600536804023086
palladium:0:center,coordination:0:geometry,10.1107/S1600536804023086
title:0:compound:1:structure,palladium:0:center,10.1107/S1600536804023086
chloride:0:ligand,classical:0:hydrogen,10.1107/S1600536804020690
zn:0:atom,carboxylate:0:group,10.1107/S1600536804020690
zn:0:atom,bidentate:1:carboxylate:0:group,10.1107/S1600536804020690
cobalt:0:nitrate,reaction:0:process,10.1107/S160053680402121X
title:0:compound,bond:0:length,10.1107/S1600536804021385
crystal:0:pack,waal:0:interaction,10.1107/S1600536804021786
crystal:0:pack,der:1:waal:0:interaction,10.1107/S1600536804021786
crystal:0:pack,van:2:der:1:waal:0:interaction,10.1107/S1600536804021786
title:0:compound,planar:0:molecule,10.1107/S1600536804021786
title:0:compound:1:structure,planar:0:molecule,10.1107/S1600536804021786
h:0:atom,helical:0:chain,10.1107/S1600536804022160
crystal:0:structure,hydrogen:0:bond,10.1107/S0108270199015607
phosphinate:0:o:1:atom,hydrogen:0:bond,10.1107/S0108270199015607
title:0:compound,independent:0:complex,10.1107/S0108270199015607
asymmetric:0:unit,solvent:0:molecule,10.1107/S0108270199015607
asymmetric:0:unit:1:independent:0:complex,solvent:0:molecule:1:dimethylformamide,10.1107/S0108270199015607
triazine:0:molecule,crystal:0:conformation,10.1107/S0108270199015607
one:1:triazine:0:molecule,crystal:0:conformation,10.1107/S0108270199015607
triazine:0:ring:1:plane,partially:0:occupy:1:molecule,10.1107/S0108270199015607
hydrogen:0:bond,crystal:0:structure,10.1107/S1600536804023682
hydrogen:0:bond:1:extensive:0:network,crystal:0:structure,10.1107/S1600536804023682
crystal:0:structure,centrosymmetric:0:n,10.1107/S1600536804023682
crystal:0:structure,centrosymmetric:0:n:1:mdash,10.1107/S1600536804023682
crystal:0:structure,centrosymmetric:0:n:1:mdash:2:h,10.1107/S1600536804023682
