,Topic,Word,P
0,0,profile_shape,8.685753764197593e-05
1,0,hydroxy_h_atom,8.685051064883624e-05
2,0,dimer_formation,8.455123902991848e-05
3,0,downstream_station,8.40239842983325e-05
4,0,final_residual,8.317471125553887e-05
5,1,recombinant_tetranectin,8.796511590897261e-05
6,1,se_atom,8.619366673686265e-05
7,1,magnetic_order_temperature,8.498054182857443e-05
8,1,cation_sphere_coordination,8.447143760256971e-05
9,1,small_contribution,8.41885168939899e-05
10,2,ph_m_tris_hcl,8.547549790650261e-05
11,2,chiral_monoclinic_space_group,8.356465572855307e-05
12,2,dodecyl_chain,8.286328820019569e-05
13,2,aring_aqua_o_atom,8.255295878194603e-05
14,2,s_interval,8.204012697033161e-05
15,3,inactive_mutant,8.790800441538945e-05
16,3,rigid_body_vibration,8.571719386088192e-05
17,3,histidine_tag,8.480801148989028e-05
18,3,aiip_peak_intensity_use,8.331209143560943e-05
19,3,sn_c,8.31368958092709e-05
20,4,ternary_binary_alloy,9.118039709504186e-05
21,4,small_angle_scatter_datum,8.992813617256389e-05
22,4,network_form_axis,8.713907234376624e-05
23,4,spectrum_library,8.562048256318525e-05
24,4,pack_difference,8.547754958170782e-05
25,5,beta_successive_basic_residue,9.090967309511062e-05
26,5,twin_fraction,8.881558963323698e-05
27,5,atomic_interaction_relate_transform,8.715252529117549e-05
28,5,mechanical_behaviour,8.682651795150775e-05
29,5,important_receptor,8.466483483309317e-05
30,6,molecule_presence,9.497109896185975e-05
31,6,furan_benzene,9.066934631908706e-05
32,6,large_contribute_factor,8.939236686764533e-05
33,6,phenol_ring,8.784243910692425e-05
34,6,avian_haemoglobin_functional_diversity,8.593379286208333e-05
35,7,measurement_alignment_procedure,9.554088752282879e-05
36,7,static_displacement,8.615489139289285e-05
37,7,rotary_mode_condensation_result,8.493252485782955e-05
38,7,crystallographic_axis,8.330634775097554e-05
39,7,hippuric_acid,8.284119178964802e-05
40,8,osteoblast_differentiation,8.862491723915266e-05
41,8,multipole_sum,8.692671189863374e-05
42,8,facial_selectivity,8.486117253294907e-05
43,8,develope_crystal_growth,8.465648349461083e-05
44,8,noticeable_distortion,8.414564047306826e-05
45,9,coordinate_n_atom,8.800738920052203e-05
46,9,tran_tran_tran,8.430823383843225e-05
47,9,numerical_determination,8.416471126173712e-05
48,9,tim_barrel_interaction_analysis,8.399822130492831e-05
49,9,hydrothermal_reaction,8.390767208873553e-05
