synset_id,word,sense_number,42310,words,worded,wording,,,,,,,
200593413,abandon,2,4419,abandoned,abandoning,abandons,,,,,,,
200594081,forsake,1,142,forsaken,forsaking,forsakes,forsook,,,,,,
202017679,vacate,2,235,vacated,vacating,vacates,,,,,,,
202163347,abandon,3,4419,abandoned,abandoning,abandons,,,,,,,
202163637,abandon,1,4419,abandoned,abandoning,abandons,,,,,,,
201747514,mortify,3,64,mortified,mortifying,mortifies,,,,,,,
201740167,embarrass,1,415,embarrassed,embarrassing,embarrasses,,,,,,,
200236959,slack,7,551,slacks,slacking,slacker,slackest,slacked,,,,,
200237189,slake,2,41,slaking,slaked,slakes,,,,,,,
200235649,abbreviate,1,97,abbreviated,abbreviating,abbreviates,,,,,,,
200235800,shorten,2,514,shortened,shortening,shortens,,,,,,,
202308091,renounce,1,386,renounced,renouncing,renounces,,,,,,,
200983009,cite,6,2556,cited,cites,citing,,,,,,,
201408129,abduct,2,211,abducted,abducting,abducts,,,,,,,
201429431,snatch,3,1232,snatched,snatching,snatches,,,,,,,
202473944,abet,1,149,abetted,abetting,abets,,,,,,,
201723090,loathe,1,332,loathed,loathes,loathing,,,,,,,
200645847,tolerate,1,1147,tolerated,tolerating,tolerates,,,,,,,
202558733,stay,3,19578,stayed,staying,stays,staid,,,,,,
200772899,retract,1,182,retracted,retracting,retracts,,,,,,,
201150791,wean,1,254,weaning,weaned,weans,,,,,,,
200171112,ablate,2,11,ablated,ablates,ablating,,,,,,,
200266493,ablate,1,11,ablated,ablates,ablating,,,,,,,
200733223,abnegate,3,4,abnegated,abnegates,abnegating,,,,,,,
201081403,abnegate,2,4,abnegated,abnegates,abnegating,,,,,,,
202149356,deny,5,7457,denied,denying,denies,denys,,,,,,
202354201,abolish,1,1864,abolished,abolishing,abolishes,,,,,,,
200057995,abort,2,231,aborted,aborting,aborts,,,,,,,
200342634,abort,1,231,aborted,aborting,aborts,,,,,,,
202635699,abound,1,473,abounded,abounds,abounding,,,,,,,
202635858,burst,5,3354,bursting,bursts,,,,,,,,
200665984,about-face,2,15,about-faces,,,,,,,,,
201853259,about-face,1,15,about-faces,,,,,,,,,
200099639,stub,1,239,stubbed,stubs,stubbing,,,,,,,
201213799,scour,3,327,scoured,scouring,scours,,,,,,,
201216140,corrade,1,corrades,corrading,corraded,,,,,,,,
201762654,abreact,1,abreacts,abreacting,abreacted,,,,,,,,
202404321,abrogate,1,92,abrogated,abrogating,abrogates,,,,,,,
201217149,abscise,2,abscises,abscising,abscised,,,,,,,,
201217282,abscise,1,abscises,abscising,abscised,,,,,,,,
202015113,decamp,2,57,decamped,decamping,decamps,,,,,,,
201867093,rappel,1,3,rappelling,rappels,rappelled,,,,,,,
200409402,remove,6,11278,removed,removing,removes,,,,,,,
200872741,justify,4,4504,justified,justifying,justifies,,,,,,,
200874010,absolve,1,148,absolved,absolving,absolves,,,,,,,
200383729,absorb,5,2610,absorbed,absorbing,absorbs,,,,,,,
200580741,occupy,8,4357,occupied,occupying,occupies,,,,,,,
200581400,steep,1,1903,steeper,steeped,steepest,steeping,steeps,,,,,
200582610,ingest,2,124,ingested,ingesting,ingests,,,,,,,
201428907,absorb,8,2610,absorbed,absorbing,absorbs,,,,,,,
201496566,suck,4,1522,sucked,sucking,sucks,,,,,,,
201497173,absorb,1,2610,absorbed,absorbing,absorbs,,,,,,,
202152991,absorb,3,2610,absorbed,absorbing,absorbs,,,,,,,
202683505,absorb,6,2610,absorbed,absorbing,absorbs,,,,,,,
201159672,refrain,2,579,refrained,refraining,refrains,,,,,,,
202389433,abstain,1,299,abstained,abstaining,abstains,,,,,,,
200669245,abstract,1,2424,abstracts,abstracted,abstracting,,,,,,,
200710405,abstract,3,2424,abstracts,abstracted,abstracting,,,,,,,
200975648,abstract,4,2424,abstracts,abstracted,abstracting,,,,,,,
202210889,swipe,2,138,swiped,swipes,swiping,,,,,,,
200196176,pervert,3,187,perverts,perverted,perverting,,,,,,,
200817784,shout,4,6168,shouted,shouting,shouts,,,,,,,
202441620,step,4,18732,steps,stepped,stepping,,,,,,,
201425369,march,7,17409,marched,marches,marching,,,,,,,
202445533,expiate,1,16,expiated,expiating,expiates,,,,,,,
200778182,assent,1,474,assented,assents,assenting,,,,,,,
200848976,submit,6,3792,submitted,submitting,submits,,,,,,,
202310255,enter,8,13867,entered,entering,enters,,,,,,,
200425643,speed,2,9459,speeds,speeding,sped,speeded,,,,,,
200426772,speed,5,9459,speeds,speeding,sped,speeded,,,,,,
200951179,stress,2,8394,stressed,stresses,stressing,,,,,,,
200980547,stress,1,8394,stressed,stresses,stressing,,,,,,,
